客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分
104,174,0胜0负,0胜1负,115:93
104,125,2胜0负,2胜0负,102:111
104,153,2胜1负,2胜2负,89:92
167,104,2胜4负,4胜2负,83:110
104,195,5胜2负,2胜4负,96:88
104,202,6胜2负,5胜2负,117:121
195,104,2胜6负,6胜3负,94:81
132,104,7胜4负,8胜4负,106:96
104,97,10胜5负,2胜12负,108:104
104,48,11胜5负,6胜9负,119:114
104,167,12胜5负,6胜12负,122:93
62,104,6胜13负,13胜5负,81:96
104,125,15胜8负,13胜10负,97:117
174,104,14胜11负,15胜10负,105:95
139,104,8胜14负,15胜11负,109:101
104,22,15胜12负,17胜9负,113:109
160,104,12胜16负,16胜12负,92:109
104,174,17胜12负,18胜11负,84:102
104,188,17胜13负,16胜14负,102:103
111,104,16胜16负,17胜15负,101:103
125,104,18胜16负,18胜17负,95:104
104,181,19胜17负,21胜15负,117:105
8,104,13胜23负,22胜17负,100:99
188,104,23胜16负,23胜18负,94:91
118,104,32胜10负,24胜19负,103:90
15,104,16胜29负,25胜21负,115:116
104,111,26胜22负,23胜26负,100:117
104,1,26胜23负,40胜10负,108:91
104,62,27胜23负,16胜34负,96:105
104,90,28胜24负,32胜20负,104:101
160,104,28胜26负,29胜25负,99:105
104,139,30胜25负,21胜33负,97:112
104,160,34胜28负,33胜30负,118:107
104,118,36胜28负,47胜18负,106:101
104,111,37胜28负,26胜39负,131:102
104,153,0胜1负,1胜0负,100:104
153,104,2胜0负,0胜2负,84:99
153,104,2胜1负,1胜2负,92:88
104,153,1胜3负,3胜1负,102:99
105,56,0胜0负,0胜0负,75:84
105,91,0胜1负,0胜0负,89:102
105,84,0胜2负,1胜1负,116:119
16,105,0胜3负,0胜3负,97:109
133,105,2胜3负,2胜3负,84:104
105,161,4胜3负,3胜4负,100:110
84,105,6胜3负,4胜4负,98:93
105,203,4胜5负,7胜2负,100:126
105,189,4胜6负,8胜1负,97:92
105,112,5胜6负,5胜4负,101:94
